date,c_IP,c_port,s_ip,s_port,trans_ID,time,trans,bitrate
20210515235546,192.168.1.18,42208,88.80.187.84,20180,3,0.0-10.2,8388608,6547638
20210515235756,192.168.1.18,42220,88.80.187.84,20180,3,0.0-10.1,7864320,6259304
20210516000007,192.168.1.18,42222,88.80.187.84,20180,3,0.0-10.2,8257536,6483385
20210516000217,192.168.1.18,42262,88.80.187.84,20180,3,0.0-10.0,8126464,6483853
20210516000427,192.168.1.18,42264,88.80.187.84,20180,3,0.0-10.0,8126464,6481740
20210516000637,192.168.1.18,42268,88.80.187.84,20180,3,0.0-10.2,8388608,6560716
20210516000847,192.168.1.18,42278,88.80.187.84,20180,3,0.0-10.3,8257536,6421556
20210516001058,192.168.1.18,42280,88.80.187.84,20180,3,0.0-10.0,8126464,6492508
20210516001308,192.168.1.18,42282,88.80.187.84,20180,3,0.0-10.3,8257536,6421474
20210516001518,192.168.1.18,42284,88.80.187.84,20180,3,0.0-10.3,8257536,6428586
20210516001729,192.168.1.18,42288,88.80.187.84,20180,3,0.0-10.1,8126464,6438858
20210516001939,192.168.1.18,42290,88.80.187.84,20180,3,0.0-10.3,8257536,6444558
20210516002149,192.168.1.18,42292,88.80.187.84,20180,3,0.0-10.1,8126464,6464635
20210516002359,192.168.1.18,42298,88.80.187.84,20180,3,0.0-10.2,8257536,6463739
20210516002610,192.168.1.18,42300,88.80.187.84,20180,3,0.0-10.3,8257536,6419475
20210516002820,192.168.1.18,42302,88.80.187.84,20180,3,0.0-10.3,8257536,6423097
20210516003030,192.168.1.18,42304,88.80.187.84,20180,3,0.0-10.3,8388608,6509839
20210516003241,192.168.1.18,42306,88.80.187.84,20180,3,0.0-10.1,8126464,6433695
20210516003451,192.168.1.18,42308,88.80.187.84,20180,3,0.0-10.3,8257536,6428040
20210516003701,192.168.1.18,42312,88.80.187.84,20180,3,0.0-10.1,7864320,6218639
20210516003911,192.168.1.18,42320,88.80.187.84,20180,3,0.0-10.0,8126464,6488085
20210516004122,192.168.1.18,42322,88.80.187.84,20180,3,0.0-10.3,8257536,6419784
20210516004332,192.168.1.18,42324,88.80.187.84,20180,3,0.0-10.1,7995392,6342628
20210516004542,192.168.1.18,42326,88.80.187.84,20180,3,0.0-10.0,8126464,6493358
20210516004752,192.168.1.18,42328,88.80.187.84,20180,3,0.0-10.3,8257536,6427945
20210516005003,192.168.1.18,42330,88.80.187.84,20180,3,0.0-10.0,8126464,6499439
20210516005213,192.168.1.18,42332,88.80.187.84,20180,3,0.0-10.3,8257536,6411556
20210516005423,192.168.1.18,42340,88.80.187.84,20180,3,0.0-10.3,8257536,6422105
20210516005634,192.168.1.18,42342,88.80.187.84,20180,3,0.0-10.1,8126464,6419778
20210516005844,192.168.1.18,42344,88.80.187.84,20180,3,0.0-10.1,8126464,6421424
20210516010054,192.168.1.18,42346,88.80.187.84,20180,3,0.0-10.6,8388608,6325301
20210516010305,192.168.1.18,42348,88.80.187.84,20180,3,0.0-10.3,8257536,6430223
20210516010515,192.168.1.18,42350,88.80.187.84,20180,3,0.0-10.0,8126464,6475908
20210516010725,192.168.1.18,42360,88.80.187.84,20180,3,0.0-10.3,8388608,6504607
20210516010936,192.168.1.18,42376,88.80.187.84,20180,3,0.0-10.2,8257536,6467336
20210516011146,192.168.1.18,42378,88.80.187.84,20180,3,0.0-10.1,8126464,6409942
20210516011356,192.168.1.18,42380,88.80.187.84,20180,3,0.0-10.1,8257536,6526506
20210516011606,192.168.1.18,42382,88.80.187.84,20180,3,0.0-10.3,8257536,6407987
20210516011817,192.168.1.18,42384,88.80.187.84,20180,3,0.0-10.0,8126464,6487901
20210516012027,192.168.1.18,42386,88.80.187.84,20180,3,0.0-10.1,8126464,6459194
20210516012237,192.168.1.18,42388,88.80.187.84,20180,3,0.0-10.3,8257536,6406777
20210516012447,192.168.1.18,42394,88.80.187.84,20180,3,0.0-10.2,8257536,6476881
20210516012658,192.168.1.18,42396,88.80.187.84,20180,3,0.0-10.1,8126464,6463086
20210516012908,192.168.1.18,42398,88.80.187.84,20180,3,0.0-10.0,8126464,6482600
20210516013118,192.168.1.18,42400,88.80.187.84,20180,3,0.0-10.3,8257536,6421295
20210516013328,192.168.1.18,42402,88.80.187.84,20180,3,0.0-10.1,8126464,6463573
20210516013539,192.168.1.18,42406,88.80.187.84,20180,3,0.0-10.3,8257536,6427145
20210516013749,192.168.1.18,42408,88.80.187.84,20180,3,0.0-10.1,8126464,6465935
20210516013959,192.168.1.18,42414,88.80.187.84,20180,3,0.0-10.1,7864320,6230730
20210516014209,192.168.1.18,42416,88.80.187.84,20180,3,0.0-10.0,8126464,6476563
20210516014419,192.168.1.18,42418,88.80.187.84,20180,3,0.0-10.3,8257536,6412894
20210516014630,192.168.1.18,42420,88.80.187.84,20180,3,0.0-10.0,8126464,6494128
20210516014840,192.168.1.18,42422,88.80.187.84,20180,3,0.0-10.3,8257536,6429709
20210516015050,192.168.1.18,42424,88.80.187.84,20180,3,0.0-10.0,8126464,6485268
20210516015300,192.168.1.18,42426,88.80.187.84,20180,3,0.0-10.2,8257536,6503567
20210516015511,192.168.1.18,42432,88.80.187.84,20180,3,0.0-10.1,8126464,6435427
20210516015721,192.168.1.18,42434,88.80.187.84,20180,3,0.0-10.1,7864320,6220073
20210516015931,192.168.1.18,42436,88.80.187.84,20180,3,0.0-10.1,8126464,6457276
20210516020141,192.168.1.18,42438,88.80.187.84,20180,3,0.0-10.3,8257536,6419067
20210516020352,192.168.1.18,42440,88.80.187.84,20180,3,0.0-10.3,8257536,6438884
20210516020602,192.168.1.18,42444,88.80.187.84,20180,3,0.0-10.1,8126464,6464190
20210516020812,192.168.1.18,42458,88.80.187.84,20180,3,0.0-10.1,8126464,6463954
20210516021022,192.168.1.18,42466,88.80.187.84,20180,3,0.0-10.3,8388608,6495597
20210516021233,192.168.1.18,42468,88.80.187.84,20180,3,0.0-10.1,8126464,6437754
20210516021443,192.168.1.18,42470,88.80.187.84,20180,3,0.0-10.1,8126464,6437089
20210516021653,192.168.1.18,42472,88.80.187.84,20180,3,0.0-10.3,8388608,6492149
20210516021903,192.168.1.18,42474,88.80.187.84,20180,3,0.0-10.2,7733248,6061941
20210516022114,192.168.1.18,42476,88.80.187.84,20180,3,0.0-10.0,8126464,6485178
20210516022324,192.168.1.18,42478,88.80.187.84,20180,3,0.0-10.3,8388608,6517570
20210516022534,192.168.1.18,42486,88.80.187.84,20180,3,0.0-10.2,8257536,6470597
20210516022745,192.168.1.18,42488,88.80.187.84,20180,3,0.0-10.3,8257536,6412571
20210516022955,192.168.1.18,42490,88.80.187.84,20180,3,0.0-10.1,8126464,6450457
20210516023205,192.168.1.18,42492,88.80.187.84,20180,3,0.0-10.0,8126464,6489473
20210516023415,192.168.1.18,42494,88.80.187.84,20180,3,0.0-10.3,8257536,6400121
20210516023626,192.168.1.18,42498,88.80.187.84,20180,3,0.0-10.2,8388608,6548379
20210516023836,192.168.1.18,42500,88.80.187.84,20180,3,0.0-10.3,8257536,6417732
20210516024047,192.168.1.18,42506,88.80.187.84,20180,3,0.0-10.3,8257536,6422826
20210516024257,192.168.1.18,42508,88.80.187.84,20180,3,0.0-10.3,7995392,6237275
20210516024507,192.168.1.18,42510,88.80.187.84,20180,3,0.0-10.1,8126464,6408330
20210516024717,192.168.1.18,42512,88.80.187.84,20180,3,0.0-10.2,8257536,6471090
20210516024928,192.168.1.18,42514,88.80.187.84,20180,3,0.0-10.1,8257536,6520443
20210516025138,192.168.1.18,42516,88.80.187.84,20180,3,0.0-10.2,8257536,6489297
20210516025348,192.168.1.18,42518,88.80.187.84,20180,3,0.0-10.2,7995392,6300064
20210516025558,192.168.1.18,42524,88.80.187.84,20180,3,0.0-10.0,8126464,6479235
20210516025809,192.168.1.18,42526,88.80.187.84,20180,3,0.0-10.2,8257536,6461281
20210516030019,192.168.1.18,42528,88.80.187.84,20180,3,0.0-10.1,8126464,6432812
20210516030229,192.168.1.18,42530,88.80.187.84,20180,3,0.0-10.2,8257536,6482381
20210516030439,192.168.1.18,42532,88.80.187.84,20180,3,0.0-10.3,8257536,6421928
20210516030650,192.168.1.18,42540,88.80.187.84,20180,3,0.0-10.1,8126464,6465214
20210516030900,192.168.1.18,42554,88.80.187.84,20180,3,0.0-10.0,8126464,6484773
20210516031110,192.168.1.18,42560,88.80.187.84,20180,3,0.0-10.1,8257536,6538339
20210516031320,192.168.1.18,42562,88.80.187.84,20180,3,0.0-10.2,8126464,6374003
20210516031531,192.168.1.18,42564,88.80.187.84,20180,3,0.0-10.3,8257536,6409890
20210516031741,192.168.1.18,42566,88.80.187.84,20180,3,0.0-10.0,8126464,6486523
20210516031951,192.168.1.18,42568,88.80.187.84,20180,3,0.0-10.4,8257536,6351851
20210516032202,192.168.1.18,42570,88.80.187.84,20180,3,0.0-10.3,7995392,6233766
20210516032412,192.168.1.18,42572,88.80.187.84,20180,3,0.0-10.2,8126464,6393774
20210516032622,192.168.1.18,42574,88.80.187.84,20180,3,0.0-10.1,8126464,6465462
20210516032832,192.168.1.18,42582,88.80.187.84,20180,3,0.0-10.3,8257536,6419999
20210516033043,192.168.1.18,42584,88.80.187.84,20180,3,0.0-10.1,8126464,6467077
20210516033253,192.168.1.18,42586,88.80.187.84,20180,3,0.0-10.3,8388608,6509577
20210516033503,192.168.1.18,42588,88.80.187.84,20180,3,0.0-10.0,7995392,6379284
20210516033713,192.168.1.18,42592,88.80.187.84,20180,3,0.0-10.0,7995392,6389748
20210516033923,192.168.1.18,42594,88.80.187.84,20180,3,0.0-10.3,8257536,6440857
20210516034134,192.168.1.18,42596,88.80.187.84,20180,3,0.0-10.3,8257536,6422608
20210516034344,192.168.1.18,42604,88.80.187.84,20180,3,0.0-10.3,8388608,6516501
20210516034555,192.168.1.18,42606,88.80.187.84,20180,3,0.0-10.2,8126464,6368812
20210516034805,192.168.1.18,42608,88.80.187.84,20180,3,0.0-10.1,8126464,6419186
20210516035015,192.168.1.18,42610,88.80.187.84,20180,3,0.0-10.1,8126464,6431739
20210516035225,192.168.1.18,42612,88.80.187.84,20180,3,0.0-10.0,8126464,6493193
20210516035435,192.168.1.18,42614,88.80.187.84,20180,3,0.0-10.3,8257536,6419921
20210516035646,192.168.1.18,42616,88.80.187.84,20180,3,0.0-10.0,8126464,6480029
20210516035856,192.168.1.18,42624,88.80.187.84,20180,3,0.0-10.1,8257536,6542378
20210516040106,192.168.1.18,42626,88.80.187.84,20180,3,0.0-10.3,8388608,6488933
20210516040316,192.168.1.18,42628,88.80.187.84,20180,3,0.0-10.1,8126464,6420805
20210516040527,192.168.1.18,42630,88.80.187.84,20180,3,0.0-10.1,8126464,6440076
20210516040737,192.168.1.18,42636,88.80.187.84,20180,3,0.0-10.0,8126464,6499886
20210516040947,192.168.1.18,42648,88.80.187.84,20180,3,0.0-10.3,8388608,6518579
20210516041157,192.168.1.18,42650,88.80.187.84,20180,3,0.0-10.1,8126464,6463306
20210516041408,192.168.1.18,42658,88.80.187.84,20180,3,0.0-10.2,8257536,6499056
20210516041618,192.168.1.18,42660,88.80.187.84,20180,3,0.0-10.3,8257536,6437756
20210516041828,192.168.1.18,42662,88.80.187.84,20180,3,0.0-10.2,8257536,6459281
20210516042039,192.168.1.18,42664,88.80.187.84,20180,3,0.0-10.3,8257536,6413062
20210516042249,192.168.1.18,42666,88.80.187.84,20180,3,0.0-10.2,8257536,6473879
20210516042459,192.168.1.18,42668,88.80.187.84,20180,3,0.0-10.3,7995392,6231106
20210516042709,192.168.1.18,42670,88.80.187.84,20180,3,0.0-10.0,8126464,6483049
20210516042920,192.168.1.18,42676,88.80.187.84,20180,3,0.0-10.2,8257536,6488891
20210516043130,192.168.1.18,42678,88.80.187.84,20180,3,0.0-10.0,8126464,6481526
20210516043340,192.168.1.18,42680,88.80.187.84,20180,3,0.0-10.2,8257536,6482621
20210516043550,192.168.1.18,42682,88.80.187.84,20180,3,0.0-10.1,8126464,6429908
20210516043800,192.168.1.18,42686,88.80.187.84,20180,3,0.0-10.1,8126464,6427230
20210516044011,192.168.1.18,42688,88.80.187.84,20180,3,0.0-10.3,8257536,6401441
20210516044221,192.168.1.18,42690,88.80.187.84,20180,3,0.0-10.2,8257536,6470516
20210516044431,192.168.1.18,42696,88.80.187.84,20180,3,0.0-10.2,8257536,6471355
20210516044642,192.168.1.18,42698,88.80.187.84,20180,3,0.0-10.2,8257536,6483221
20210516044852,192.168.1.18,42700,88.80.187.84,20180,3,0.0-10.3,8257536,6431506
20210516045102,192.168.1.18,42702,88.80.187.84,20180,3,0.0-10.1,8126464,6433129
20210516045313,192.168.1.18,42704,88.80.187.84,20180,3,0.0-10.3,8257536,6432324
20210516045523,192.168.1.18,42706,88.80.187.84,20180,3,0.0-10.3,8257536,6431574
20210516045733,192.168.1.18,42708,88.80.187.84,20180,3,0.0-10.1,8126464,6466688
20210516045943,192.168.1.18,42716,88.80.187.84,20180,3,0.0-10.1,8126464,6441900
20210516050154,192.168.1.18,42718,88.80.187.84,20180,3,0.0-10.2,8257536,6506574
20210516050404,192.168.1.18,42724,88.80.187.84,20180,3,0.0-10.3,7733248,5998488
20210516050614,192.168.1.18,42730,88.80.187.84,20180,3,0.0-10.2,8126464,6403588
20210516050825,192.168.1.18,42748,88.80.187.84,20180,3,0.0-10.3,8388608,6495552
20210516051035,192.168.1.18,42750,88.80.187.84,20180,3,0.0-10.2,8257536,6468821
20210516051245,192.168.1.18,42752,88.80.187.84,20180,3,0.0-10.3,8388608,6496138
20210516051456,192.168.1.18,42758,88.80.187.84,20180,3,0.0-10.3,8388608,6527075
20210516051706,192.168.1.18,42760,88.80.187.84,20180,3,0.0-10.2,8257536,6457775
20210516051916,192.168.1.18,42768,88.80.187.84,20180,3,0.0-10.2,8257536,6462520
20210516052127,192.168.1.18,42770,88.80.187.84,20180,3,0.0-10.2,8257536,6451506
20210516052337,192.168.1.18,42772,88.80.187.84,20180,3,0.0-10.2,8257536,6457564
20210516052547,192.168.1.18,42774,88.80.187.84,20180,3,0.0-10.1,8126464,6415919
20210516052757,192.168.1.18,42776,88.80.187.84,20180,3,0.0-10.0,7864320,6268930
20210516053008,192.168.1.18,42784,88.80.187.84,20180,3,0.0-10.3,8257536,6439975
20210516053218,192.168.1.18,42786,88.80.187.84,20180,3,0.0-10.0,8126464,6472444
20210516053428,192.168.1.18,42788,88.80.187.84,20180,3,0.0-10.3,8388608,6502861
20210516053639,192.168.1.18,42792,88.80.187.84,20180,3,0.0-10.3,8257536,6444204
20210516053849,192.168.1.18,42794,88.80.187.84,20180,3,0.0-10.2,8257536,6461908
20210516054059,192.168.1.18,42796,88.80.187.84,20180,3,0.0-10.3,8126464,6305450
20210516054310,192.168.1.18,42798,88.80.187.84,20180,3,0.0-10.2,8257536,6475081
20210516054520,192.168.1.18,42804,88.80.187.84,20180,3,0.0-10.1,8126464,6420715
20210516054730,192.168.1.18,42806,88.80.187.84,20180,3,0.0-10.2,8257536,6451429
20210516054940,192.168.1.18,42808,88.80.187.84,20180,3,0.0-10.1,8126464,6468310
20210516055151,192.168.1.18,42810,88.80.187.84,20180,3,0.0-10.3,8257536,6408101
20210516055401,192.168.1.18,42812,88.80.187.84,20180,3,0.0-10.1,8257536,6511098
20210516055611,192.168.1.18,42814,88.80.187.84,20180,3,0.0-10.1,8126464,6459045
20210516055821,192.168.1.18,42816,88.80.187.84,20180,3,0.0-10.2,8257536,6493998
20210516060032,192.168.1.18,42822,88.80.187.84,20180,3,0.0-10.1,8126464,6440227
20210516060242,192.168.1.18,42824,88.80.187.84,20180,3,0.0-10.0,8126464,6478582
20210516060452,192.168.1.18,42826,88.80.187.84,20180,3,0.0-10.3,8257536,6443618
20210516060702,192.168.1.18,42838,88.80.187.84,20180,3,0.0-10.2,7995392,6258175
20210516060913,192.168.1.18,42848,88.80.187.84,20180,3,0.0-10.3,8257536,6391213
20210516061123,192.168.1.18,42850,88.80.187.84,20180,3,0.0-10.0,8126464,6499725
20210516061333,192.168.1.18,42852,88.80.187.84,20180,3,0.0-10.1,8126464,6432833
20210516061543,192.168.1.18,42860,88.80.187.84,20180,3,0.0-10.2,8257536,6504387
20210516061754,192.168.1.18,42862,88.80.187.84,20180,3,0.0-10.2,8257536,6453253
20210516062004,192.168.1.18,42864,88.80.187.84,20180,3,0.0-10.0,8126464,6474589
20210516062214,192.168.1.18,42866,88.80.187.84,20180,3,0.0-10.1,8126464,6439468
20210516062424,192.168.1.18,42868,88.80.187.84,20180,3,0.0-10.3,8388608,6509690
20210516062635,192.168.1.18,42870,88.80.187.84,20180,3,0.0-10.1,8126464,6414761
